fecha,commit,autor,archivo,n_rf,iguales_TA,iguales_TB,mensaje
2026-08-02 21:36 -0500,87f2fc2,kcrespoe,06_Experimento/scripts_analisis/rf25.json,25,25,4,agrega insumo del script
2026-08-02 23:37 -0500,b921494,equinteroj,01_ERS/ERS_SRS_2A_v1.0.tex,25,25,4,Documento finalizado
2026-09-01 13:43 -0500,a2fea20,Carlos Perez Ruiz,06_Experimento/scripts_analisis/rf27.json,27,27,6,agregar rf27.json con los 27 RF verbatim del ERS v2.0
2026-09-01 17:46 -0500,446a828,kcrespoe,01_ERS/ERS_SRS_2B_v2.0.tex,27,6,27,documento tex
2026-09-03 12:08 -0500,77fad51,kcrespoe,01_ERS/ERS_SRS_2B_v2.0.tex,27,6,27,update  ERS_SRS_2B_v2.0.tex
2026-09-03 17:39 -0500,899f9a7,Carlos Perez Ruiz,07_Datos/scripts/rf27.json,27,27,6,mover scripts y datos de 06_Experimento a 07_Datos
2026-09-14 15:57 -0500,c9e90f0,equinteroj,07_Datos/scripts/rf27.json,27,6,27,actualizar datos del rf27
2026-09-14 20:55 -0500,456d109,EdhuXav,01_ERS/ERS_SRS_2B_v2.0.tex,27,6,27,Actualizar .tex del ERS
